week,condition,replicate,species,ddpcr_copy_number,ddpcr_sd_or_ci,batch_id
4,P10,r1,PDGFRA,113.4,3.443877551020408,2026-05-04-ddPCR-T87
4,P250,r1,CDK4,77.69999999999999,3.443877551020408,2026-05-04-ddPCR-T87
4,P250,r1,MYC,96.9,3.9030612244897953,2026-05-04-ddPCR-T87
4,P250,r1,PDGFRA,93.0,3.826530612244898,2026-05-04-ddPCR-T87
4,P50,r1,CDK4,100.8,6.19897959183673,2026-05-04-ddPCR-T87
4,P50,r1,MYC,113.7,6.581632653061224,2026-05-04-ddPCR-T87
4,P50,r1,PDGFRA,106.8,5.9693877551020424,2026-05-04-ddPCR-T87
4,R100,r1,CDK4,76.5,2.9081632653061167,2026-05-04-ddPCR-T87
4,R100,r1,MYC,90.3,3.5204081632653055,2026-05-04-ddPCR-T87
4,R100,r1,PDGFRA,81.6,3.137755102040812,2026-05-04-ddPCR-T87
4,R20,r1,CDK4,99.9,2.755102040816326,2026-05-04-ddPCR-T87
4,R20,r1,MYC,119.1,3.443877551020408,2026-05-04-ddPCR-T87
4,R20,r1,PDGFRA,115.2,3.1377551020408156,2026-05-04-ddPCR-T87
4,R500,r1,CDK4,93.0,3.3673469387755075,2026-05-04-ddPCR-T87
4,R500,r1,MYC,91.2,3.29081632653061,2026-05-04-ddPCR-T87
4,R500,r1,PDGFRA,88.5,3.061224489795918,2026-05-04-ddPCR-T87
4,ctrl,r1,CDK4,83.69999999999999,3.9795918367346923,2026-05-04-ddPCR-T87
4,ctrl,r1,MYC,112.8,5.433673469387754,2026-05-04-ddPCR-T87
4,ctrl,r1,PDGFRA,105.9,5.127551020408162,2026-05-04-ddPCR-T87
5,P10,r1,CDK4,99.6,2.9081632653061202,2026-05-04-ddPCR-T87
5,P10,r1,MYC,130.2,3.9795918367346923,2026-05-04-ddPCR-T87
5,P10,r1,PDGFRA,120.0,3.9030612244897953,2026-05-04-ddPCR-T87
5,P250,r1,CDK4,64.5,1.9897959183673481,2026-05-04-ddPCR-T87
5,P250,r1,MYC,103.5,3.520408163265309,2026-05-04-ddPCR-T87
5,P250,r1,PDGFRA,85.19999999999999,2.678571428571425,2026-05-04-ddPCR-T87
5,P50,r1,CDK4,99.6,2.755102040816326,2026-05-04-ddPCR-T87
5,P50,r1,MYC,117.6,3.443877551020408,2026-05-04-ddPCR-T87
5,P50,r1,PDGFRA,112.2,3.214285714285713,2026-05-04-ddPCR-T87
5,R100,r1,CDK4,79.80000000000001,3.061224489795918,2026-05-04-ddPCR-T87
5,R100,r1,MYC,95.7,3.520408163265302,2026-05-04-ddPCR-T87
5,R100,r1,PDGFRA,85.80000000000001,3.0612244897959147,2026-05-04-ddPCR-T87
5,R20,r1,CDK4,97.5,3.520408163265309,2026-05-04-ddPCR-T87
5,R20,r1,MYC,135.3,4.744897959183679,2026-05-04-ddPCR-T87
5,R20,r1,PDGFRA,122.4,4.209183673469388,2026-05-04-ddPCR-T87
5,R500,r1,CDK4,87.6,2.525510204081634,2026-05-04-ddPCR-T87
